yearID,salary,name
1997,249083776,"Anaheim Angels"
1998,330248000,"Anaheim Angels"
1999,443105328,"Anaheim Angels"
2000,411713336,"Anaheim Angels"
2001,380281336,"Anaheim Angels"
2002,493773336,"Anaheim Angels"
2003,632253336,"Anaheim Angels"
2004,804277336,"Anaheim Angels"
1998,614593000,"Arizona Diamondbacks"
1999,1305375981,"Arizona Diamondbacks"
2000,1539528827,"Arizona Diamondbacks"
2001,1616576981,"Arizona Diamondbacks"
2002,1953579981,"Arizona Diamondbacks"
2003,1532483000,"Arizona Diamondbacks"
2004,1325834250,"Arizona Diamondbacks"
2005,1184254154,"Arizona Diamondbacks"
2006,1134000294,"Arizona Diamondbacks"
2007,989283374,"Arizona Diamondbacks"
2008,1257851528,"Arizona Diamondbacks"
2009,1389197654,"Arizona Diamondbacks"
2010,1153645154,"Arizona Diamondbacks"
2011,1019156827,"Arizona Diamondbacks"
2012,1402291827,"Arizona Diamondbacks"
2013,1712508000,"Arizona Diamondbacks"
2014,1859368500,"Arizona Diamondbacks"
2015,1174846000,"Arizona Diamondbacks"
2016,1661342197,"Arizona Diamondbacks"
1985,755157000,"Atlanta Braves"
1986,872242086,"Atlanta Braves"
1987,843772560,"Atlanta Braves"
1988,649136874,"Atlanta Braves"
1989,566729034,"Atlanta Braves"
1990,742330551,"Atlanta Braves"
1991,938578500,"Atlanta Braves"
1992,1765891983,"Atlanta Braves"
1993,2123712267,"Atlanta Braves"
1994,2518559163,"Atlanta Braves"
1995,2409007695,"Atlanta Braves"
1996,2534623500,"Atlanta Braves"
1997,2666203500,"Atlanta Braves"
1998,3120486000,"Atlanta Braves"
1999,3730140000,"Atlanta Braves"
2000,4311429636,"Atlanta Braves"
2001,4688744466,"Atlanta Braves"
2002,4736388717,"Atlanta Braves"
2003,5418427017,"Atlanta Braves"
2004,4599307500,"Atlanta Braves"
2005,4409322402,"Atlanta Braves"
2006,4598000676,"Atlanta Braves"
2007,4451832483,"Atlanta Braves"
2008,5220649833,"Atlanta Braves"
2009,4933034466,"Atlanta Braves"
2010,4305606966,"Atlanta Braves"
2011,4437137292,"Atlanta Braves"
2012,4224327042,"Atlanta Braves"
2013,4481447775,"Atlanta Braves"
