name,yearID,salary,color
"Baltimore Orioles",1998,72355634,"orange"
"Boston Red Sox",1998,56757000,"red"
"New York Yankees",1998,66806867,"black"
"Tampa Bay Devil Rays",1998,27280000,"teal"
"Toronto Blue Jays",1998,51376000,"blue"
"Baltimore Orioles",1999,80605863,"orange"
"Boston Red Sox",1999,63497500,"red"
"New York Yankees",1999,86734359,"black"
"Tampa Bay Devil Rays",1999,38870000,"teal"
"Toronto Blue Jays",1999,45444333,"blue"
"Baltimore Orioles",2000,81447435,"orange"
"Boston Red Sox",2000,77940333,"red"
"New York Yankees",2000,92338260,"black"
"Tampa Bay Devil Rays",2000,62765129,"teal"
"Toronto Blue Jays",2000,44838332,"blue"
"Baltimore Orioles",2001,67599540,"orange"
"Boston Red Sox",2001,110035833,"red"
"New York Yankees",2001,112287143,"black"
"Tampa Bay Devil Rays",2001,56980000,"teal"
"Toronto Blue Jays",2001,76895999,"blue"
"Baltimore Orioles",2002,60493487,"orange"
"Boston Red Sox",2002,108366060,"red"
"New York Yankees",2002,125928583,"black"
"Tampa Bay Devil Rays",2002,34380000,"teal"
"Toronto Blue Jays",2002,76864333,"blue"
"Baltimore Orioles",2003,73877500,"orange"
"Boston Red Sox",2003,99946500,"red"
"New York Yankees",2003,152749814,"black"
"Tampa Bay Devil Rays",2003,19630000,"teal"
"Toronto Blue Jays",2003,51269000,"blue"
"Baltimore Orioles",2004,51623333,"orange"
"Boston Red Sox",2004,127298500,"red"
"New York Yankees",2004,184193950,"black"
"Tampa Bay Devil Rays",2004,29556667,"teal"
"Toronto Blue Jays",2004,50017000,"blue"
"Baltimore Orioles",2005,73914333,"orange"
"Boston Red Sox",2005,123505125,"red"
"New York Yankees",2005,208306817,"black"
"Tampa Bay Devil Rays",2005,29679067,"teal"
"Toronto Blue Jays",2005,45719500,"blue"
"Baltimore Orioles",2006,72585582,"orange"
"Boston Red Sox",2006,120099824,"red"
"New York Yankees",2006,194663079,"black"
"Tampa Bay Devil Rays",2006,34917967,"teal"
"Toronto Blue Jays",2006,71365000,"blue"
"Baltimore Orioles",2007,93174808,"orange"
"Boston Red Sox",2007,143026214,"red"
"New York Yankees",2007,189259045,"black"
"Tampa Bay Devil Rays",2007,24123500,"teal"
"Toronto Blue Jays",2007,81942800,"blue"
"Baltimore Orioles",2008,67196246,"orange"
"Boston Red Sox",2008,133390035,"red"
"New York Yankees",2008,207896789,"black"
"Tampa Bay Rays",2008,43820597,"teal"
"Toronto Blue Jays",2008,97793900,"blue"
"Baltimore Orioles",2009,67101666,"orange"
"Boston Red Sox",2009,121345999,"red"
"New York Yankees",2009,201449189,"black"
"Tampa Bay Rays",2009,63313034,"teal"
"Toronto Blue Jays",2009,80538300,"blue"
"Baltimore Orioles",2010,81612500,"orange"
"Boston Red Sox",2010,162447333,"red"
"New York Yankees",2010,206333389,"black"
"Tampa Bay Rays",2010,71923471,"teal"
"Toronto Blue Jays",2010,62234000,"blue"
"Baltimore Orioles",2011,85304038,"orange"
"Boston Red Sox",2011,161762475,"red"
"New York Yankees",2011,202275028,"black"
"Tampa Bay Rays",2011,41053571,"teal"
"Toronto Blue Jays",2011,62567800,"blue"
"Baltimore Orioles",2012,77353999,"orange"
"Boston Red Sox",2012,173186617,"red"
"New York Yankees",2012,196522289,"black"
"Tampa Bay Rays",2012,64173500,"teal"
"Toronto Blue Jays",2012,75009200,"blue"
"Baltimore Orioles",2013,84393333,"orange"
"Boston Red Sox",2013,151530000,"red"
"New York Yankees",2013,231978886,"black"
"Tampa Bay Rays",2013,52955272,"teal"
"Toronto Blue Jays",2013,126288100,"blue"
"Baltimore Orioles",2014,103416000,"orange"
"Boston Red Sox",2014,139019929,"red"
"New York Yankees",2014,197543907,"black"
"Tampa Bay Rays",2014,72689100,"teal"
"Toronto Blue Jays",2014,109920100,"blue"
"Baltimore Orioles",2015,115044833,"orange"
"Boston Red Sox",2015,181103400,"red"
"New York Yankees",2015,212751957,"black"
"Tampa Bay Rays",2015,64521233,"teal"
"Toronto Blue Jays",2015,112992400,"blue"
