name,year,runs,runsaginst
"Boston Red Stockings",1871,401,303
"Chicago White Stockings",1871,302,241
"Cleveland Forest Citys",1871,249,341
"Fort Wayne Kekiongas",1871,137,243
"New York Mutuals",1871,302,313
"Philadelphia Athletics",1871,376,266
"Rockford Forest Citys",1871,231,287
"Troy Haymakers",1871,351,362
"Washington Olympics",1871,310,303
"Baltimore Canaries",1872,617,434
"Brooklyn Eckfords",1872,152,413
"Brooklyn Atlantics",1872,237,473
"Boston Red Stockings",1872,521,236
"Cleveland Forest Citys",1872,174,254
"Middletown Mansfields",1872,220,348
"New York Mutuals",1872,523,362
"Philadelphia Athletics",1872,539,349
"Troy Haymakers",1872,273,191
"Washington Olympics",1872,54,140
"Washington Nationals",1872,80,190
"Baltimore Canaries",1873,644,451
"Baltimore Marylands",1873,26,152
"Brooklyn Atlantics",1873,366,549
"Boston Red Stockings",1873,739,460
"Elizabeth Resolutes",1873,98,299
"New York Mutuals",1873,424,385
"Philadelphia Athletics",1873,474,403
"Philadelphia Whites",1873,526,396
"Washington Blue Legs",1873,283,485
"Baltimore Canaries",1874,227,505
"Brooklyn Atlantics",1874,301,449
"Boston Red Stockings",1874,735,415
"Chicago White Stockings",1874,418,480
"Hartford Dark Blues",1874,371,471
"New York Mutuals",1874,500,377
"Philadelphia Athletics",1874,441,344
"Philadelphia Whites",1874,476,428
"Brooklyn Atlantics",1875,132,438
"Boston Red Stockings",1875,831,343
"Chicago White Stockings",1875,379,416
"Hartford Dark Blues",1875,557,343
"Keokuk Westerns",1875,45,88
"New Haven Elm Citys",1875,170,397
"New York Mutuals",1875,328,425
"Philadelphia Athletics",1875,699,402
"Philadelphia Whites",1875,470,376
"Philadelphia Centennials",1875,70,138
"St. Louis Red Stockings",1875,60,161
"St. Louis Brown Stockings",1875,386,369
"Washington Nationals",1875,107,338
"Boston Red Caps",1876,471,450
"Chicago White Stockings",1876,624,257
"Cincinnati Reds",1876,238,579
"Hartford Dark Blues",1876,429,261
"Louisville Grays",1876,280,344
"New York Mutuals",1876,260,412
"Philadelphia Athletics",1876,378,534
"St. Louis Brown Stockings",1876,386,229
"Boston Red Caps",1877,419,263
"Chicago White Stockings",1877,366,375
"Cincinnati Reds",1877,291,485
"Hartford Dark Blues",1877,341,311
"Louisville Grays",1877,339,288
"St. Louis Brown Stockings",1877,284,318
"Boston Red Caps",1878,298,241
"Chicago White Stockings",1878,371,331
